source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'BBC News'}",,'Left-wing lunatic' and 'a disgrace': How Trump and Harris describe each other,"As both campaigns make claims about inflammatory rhetoric, what do the candidates themselves say about their rival?",https://www.bbc.com/news/articles/cx20np62x88o,https://ichef.bbci.co.uk/news/1024/branded_news/4522/live/d782f940-7762-11ef-b282-4535eb84fe4b.png,2024-09-21T11:16:43Z,"The tenor and tone of the 2024 presidential race has once again become a top issue after Republican nominee Donald Trump was again targeted in what the FBI called an apparent assassination attempt.
… [+5287 chars]"
"{'id': None, 'name': 'BBC News'}",,"Who is Ryan Wesley Routh, suspect in Trump assassination attempt?",He appears to have mixed politics and a history of support for Ukraine - as well as a number of legal issues.,https://www.bbc.com/news/articles/c3611zjjnd2o,https://ichef.bbci.co.uk/news/1024/branded_news/1b41/live/6aab4c70-740e-11ef-a3b7-b33008c79206.jpg,2024-09-16T11:00:37Z,"Ryan Routh at a rally in Mariupol in Ukraine in May 2022
Ryan Wesley Routh has been identified by US media as a suspect following the apparent assassination attempt on US Republican presidential can… [+5930 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,Elon Musk Has a New Excuse for Not Making It to Mars,"The billionaire says that if he doesn't successfully colonize Mars at some point in the next few years, you can blame Kamala Harris.",https://gizmodo.com/elon-musk-has-a-new-excuse-for-not-making-it-to-mars-2000497650,https://gizmodo.com/app/uploads/2024/09/Elon-Musk-at-the-2024-U.S.-Open.jpg,2024-09-11T20:15:45Z,Elon Musk has said a lot of stupid stuff over the years. One of the stupider things he’s said is thatat some point in the next few yearshe is going to help humanity colonize Mars. Besides the fact th… [+2144 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,Trump’s New Crypto Project Is Reportedly Saving the Best Loot for Its Founders,"In a thoroughly predictable development, Trump's new crypto project appears to be heavily weighted towards the already wealthy.",https://gizmodo.com/trumps-new-crypto-project-is-reportedly-saving-the-best-loot-for-its-founders-2000494963,https://gizmodo.com/app/uploads/2024/09/Donald-Trump-and-his-sons-stand-with-JD-Vance-at-the-Republican-Convention.jpg,2024-09-05T13:20:07Z,"Donald Trump and his progeny have been touting a new crypto project that they claim will bring newfound economic power to “the people.” However, a new report claims that instead of doing that, it may… [+2334 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Taylor Swift Officially Endorses Kamala Harris After Trump’s Debate Meltdown,"Swift signed the post as ""Childless Cat Lady,"" a dig at Donald Trump's running mate JD Vance.",https://gizmodo.com/taylor-swift-officially-endorses-kamala-harris-after-trumps-debate-meltdown-2000497324,https://gizmodo.com/app/uploads/2024/09/Taylor-Swift-at-a-concert-in-England-copy-1.jpeg,2024-09-11T03:29:46Z,Taylor Swift officially endorsed Kamala Harris for president Tuesday night in an Instagram post after months of speculation. The pop star said she was prompted to make her voting preference known aft… [+4732 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Matthew Gault,Iranian Hackers Tried to Tempt Biden’s Campaign With Stolen Trump Info,Hackers have been shopping the information around since the summer when they successfully spear phished a former senior campaign advisor.,https://gizmodo.com/iranian-hackers-tried-to-tempt-bidens-campaign-with-stolen-trump-info-2000500701,https://gizmodo.com/app/uploads/2024/09/GettyImages-2172973156.jpg,2024-09-19T13:35:22Z,"Iranian hackers stole sensitive information from the Trump campaign and shopped it around to the Biden campaign and several media outlets. According to federal investigators, the hackers sent unsolic… [+3454 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Journalist Suspended on ‘Free Speech’ Platform X After Publishing Stolen Trump Document,"The leaked document, an internal profile of JD Vance, is painfully boring.",https://gizmodo.com/journalist-suspended-on-free-speech-platform-x-after-publishing-stolen-trump-document-2000503970,https://gizmodo.com/app/uploads/2024/09/jd-vance-weird-hand.jpg,2024-09-26T20:22:16Z,"Ken Klippenstein, a journalist who previously worked at The Intercept before starting his own Substack, published an internal document from Donald Trump’s presidential campaign Thursday. The document… [+5911 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,Trump Promises ‘Very Large Faucet’ Will Funnel Water from Oregon to Los Angeles,"The former President's plan to bring water to the California desert is, like a lot of his promises, a goofy pipe-dream.",https://gizmodo.com/trump-promises-very-large-faucet-will-funnel-water-from-oregon-to-los-angeles-2000504652,https://gizmodo.com/app/uploads/2024/09/Donald-Trump-at-a-campaign-rally-in-Pennsylvania.jpg,2024-09-30T11:00:53Z,"Donald Trump isn’t exactly what you’d call a policy guy. When asked about his positions on various domestic issues, Trump’s typical maneuver is to spit out a bunch of rambling platitudes and then piv… [+3834 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Trump Supporters Flood Social Media With Viral Hoax About Migrants Eating Cats and Ducks,Elon Musk helped amplify the far-right lies on his social media platform X.,https://gizmodo.com/trump-supporters-flood-social-media-with-viral-hoax-about-migrants-eating-cats-and-ducks-2000496412,https://gizmodo.com/app/uploads/2024/09/trump-AI-generated-image-duck-cat.jpg,2024-09-09T20:15:59Z,Supporters of Republican presidential candidate Donald Trump flooded the website formerly known as Twitter with images of cats and ducks on Monday. What prompted this sudden love for animals in a com… [+6091 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,Microsoft Is Getting Into Bed With Palmer Luckey to Make Super Soldiers,Luckey's Anduril Industries has landed a lucrative new contract with the DoD that will bring automated headsets to America's warrior class.,https://gizmodo.com/microsoft-is-getting-into-bed-with-palmer-luckey-to-make-super-soldiers-2000500977,https://gizmodo.com/app/uploads/2024/09/Palmer-Luckey-during-an-interview-with-Emily-Chang-1.jpg,2024-09-19T20:35:45Z,"Palmer Luckey, the Trump-loving defense contractor who looks increasingly like Kenny Powers, has long been preoccupied with dystopian visions. In addition to warning us all about the future of killer… [+3655 chars]"
"{'id': 'wired', 'name': 'Wired'}",Makena Kelly,Get Your VP Debate Bingo Card Right Here,Vice presidential nominees J.D. Vance and Tim Walz are debating tonight. Let's follow along together!,https://www.wired.com/story/bingo-how-to-watch-vp-walz-vance-debate/,"https://media.wired.com/photos/66f70c288af4eb900c2450f5/191:100/w_1280,c_limit/vp-debate-498125917.jpg",2024-10-01T10:00:00Z,"On Tuesday night, vice presidential nominees J.D. Vance and Tim Walz will debate one another for the first and only time ahead of the November presidential election.
Before becoming an Ohio senator,… [+1908 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,"How to Watch the Vance-Walz VP Debate, No Cable Required",JD Vance (weird guy) and Tim Walz (the guy who calls him a weird guy) will debate tonight in New York at 9 p.m. ET / 6 p.m. PT.,https://gizmodo.com/how-to-watch-the-vance-walz-vp-debate-no-cable-required-2000505408,https://gizmodo.com/app/uploads/2024/09/vance-walz-debate-getty.jpg,2024-10-01T11:31:51Z,Vice presidential candidates Tim Walz and JD Vance square off Tuesday night in their first and only debate of the 2024 presidential election. While VPs typically don’t swing many voters one way or an… [+6124 chars]
